model,dataset,display_name,role,domain,freq,seasonal_m,status,evidence_scope,verified,citation
chronos2,m4_hourly,M4,primary,mixed hourly,1H,24,pretraining_exposed,exact_dataset,True,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets lists ""M4 (Hourly/Daily/Weekly/Monthly)""."
timesfm3,m4_hourly,M4,primary,mixed hourly,1H,24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,m4_hourly,M4,primary,mixed hourly,1H,24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,monash_electricity_hourly,Electricity,primary,energy,1H,24,pretraining_exposed,exact_dataset,True,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets lists ""Electricity""."
timesfm3,monash_electricity_hourly,Electricity,primary,energy,1H,24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,monash_electricity_hourly,Electricity,primary,energy,1H,24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,uber_tlc_hourly,Uber TLC,primary,transport / ride demand,1H,24,pretraining_exposed,source_family,True,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets lists ""Taxi"" (NYC TLC trip records). Uber TLC is the same NYC TLC source family, not a verbatim Table 6 entry — this is family-level evidence, deliberately NOT recorded as exact_dataset."
timesfm3,uber_tlc_hourly,Uber TLC,primary,transport / ride demand,1H,24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,uber_tlc_hourly,Uber TLC,primary,transport / ride demand,1H,24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,pretraining_exposed,exact_dataset,True,"Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets lists ""Wind Farms""."
timesfm3,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,wind_farms_hourly,Wind Farms,primary,renewable generation,1H,24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,not_listed,exact_dataset,True,"Absent from Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets, which the paper declares exhaustive for real univariate data. No cutoff date is stated anywhere in the paper, so absence is not a temporal guarantee."
timesfm3,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,sg_carpark,SG Carpark,primary,transport / parking,1H(agg),24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,coastal_ts,Coastal T-S,primary,nature / oceanography,1H,24,not_listed,exact_dataset,True,"Absent from Ansari et al., Chronos-2 (arXiv:2510.15821), Table 6 — the full list of real univariate pretraining datasets (declared exhaustive). No cutoff date is stated."
timesfm3,coastal_ts,Coastal T-S,primary,nature / oceanography,1H,24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
tirex,coastal_ts,Coastal T-S,primary,nature / oceanography,1H,24,undocumented,source_family,True,"TiRex (arXiv:2505.23719) App C.2/C.3: Chronos-1 corpus (Table 5) + a GIFT-Eval subset (Table 6) + 15M synthetic GP series; 16 of 97 GIFT-Eval settings are excluded but ARE NEVER NAMED, so per-dataset status cannot be derived"
chronos2,boom_hourly,BOOM,primary,cloud observability,1H,24,not_listed,benchmark_exclusion,True,"CORRECTED 2026-09-21: the strings ""BOOM"" and ""Datadog"" do NOT appear in arXiv:2510.15821, so data/chronos2_seen_manifest.md's ""explicitly listed"" claim is wrong. Held-out status is an INFERENCE via fev-bench, which contains BOOMLET (a BOOM subset). Chronos-2 (arXiv:2510.15821) Sec 5.1 on fev-bench: ""None of these datasets or tasks were seen by Chronos-2 during training."""
timesfm3,boom_hourly,BOOM,primary,cloud observability,1H,24,undocumented,source_family,True,"TimesFM-3 model card (google/timesfm-3.0-pytorch; blog 2026-08-31, no paper): corpus = GiftEvalPretrain excluding datasets overlapping fev-bench, + Wikipedia Pageviews (cutoff Nov 2023), + Google Trends top queries (cutoff EoY 2022), + ""synthetic and augmented data"" (undefined)"
